nflId,season,teamId,displayName,firstName,middleName,lastName,suffix,status,positionGroup,position,esbId,gsisId,homeTown,collegeId,collegeName,height,weight,headshot_url,profile_url,birthDate,jerseyNumber
182,2008,2120,Xavier Adibi,Xavier,Oyekola,Adibi,,ACT,LB,OLB,ADI219645,00-0026258,Stillwater, OK,5859,Virginia Tech,6-2,232,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ADI219645.png,http://www.nfl.com/player/xavieradibi/182/profile,1984-10-18,52
182,2009,2120,Xavier Adibi,Xavier,Oyekola,Adibi,,ACT,LB,LB,ADI219645,00-0026258,Stillwater, OK,5859,Virginia Tech,6-2,242,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ADI219645.png,http://www.nfl.com/player/xavieradibi/182/profile,1984-10-18,52
182,2010,2120,Xavier Adibi,Xavier,Oyekola,Adibi,,ACT,LB,OLB,ADI219645,00-0026258,Stillwater, OK,5859,Virginia Tech,6-2,242,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ADI219645.png,http://www.nfl.com/player/xavieradibi/182/profile,1984-10-18,52
182,2011,3000,Xavier Adibi,Xavier,Oyekola,Adibi,,ACT,LB,LB,ADI219645,00-0026258,Stillwater, OK,5859,Virginia Tech,6-2,242,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ADI219645.png,http://www.nfl.com/player/xavieradibi/182/profile,1984-10-18,57
182,2012,2100,Xavier Adibi,Xavier,Oyekola,Adibi,,ACT,LB,LB,ADI219645,00-0026258,Stillwater, OK,5859,Virginia Tech,6-2,242,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ADI219645.png,http://www.nfl.com/player/xavieradibi/182/profile,1984-10-18,58
184,2008,2510,Donnie Avery,Donnie,Dion,Avery,,ACT,WR,WR,AVE422211,00-0026173,Houston, TX,6870,Houston,5-11,184,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/AVE422211.png,http://www.nfl.com/player/donnieavery/184/profile,1984-06-12,17
184,2009,2510,Donnie Avery,Donnie,Dion,Avery,,ACT,WR,WR,AVE422211,00-0026173,Houston, TX,6870,Houston,5-11,183,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/AVE422211.png,http://www.nfl.com/player/donnieavery/184/profile,1984-06-12,17
184,2010,2510,Donnie Avery,Donnie,Dion,Avery,,RES,WR,WR,AVE422211,00-0026173,Houston, TX,6870,Houston,5-11,183,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/AVE422211.png,http://www.nfl.com/player/donnieavery/184/profile,1984-06-12,17
184,2011,2100,Donnie Avery,Donnie,Dion,Avery,,ACT,WR,WR,AVE422211,00-0026173,Houston, TX,6870,Houston,5-11,183,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/AVE422211.png,http://www.nfl.com/player/donnieavery/184/profile,1984-06-12,82
184,2012,2200,Donnie Avery,Donnie,Dion,Avery,,ACT,WR,WR,AVE422211,00-0026173,Houston, TX,6870,Houston,5-11,200,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/AVE422211.png,http://www.nfl.com/player/donnieavery/184/profile,1984-06-12,11
184,2013,2310,Donnie Avery,Donnie,Dion,Avery,,ACT,WR,WR,AVE422211,00-0026173,Houston, TX,6870,Houston,5-11,200,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/AVE422211.png,http://www.nfl.com/player/donnieavery/184/profile,1984-06-12,17
184,2014,2310,Donnie Avery,Donnie,Dion,Avery,,ACT,WR,WR,AVE422211,00-0026173,Houston, TX,6870,Houston,5-11,200,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/AVE422211.png,http://www.nfl.com/player/donnieavery/184/profile,1984-06-12,17
188,2008,4500,Kentwan Balmer,Kentwan,Jalile,Balmer,,ACT,DL,DE,BAL748542,00-0026169,Ahoskie, NC,5816,North Carolina,6-5,315,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAL748542.png,http://www.nfl.com/player/kentwanbalmer/188/profile,1986-10-15,96
188,2009,4500,Kentwan Balmer,Kentwan,Jalile,Balmer,,RES,DL,DE,BAL748542,00-0026169,Ahoskie, NC,5816,North Carolina,6-5,315,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAL748542.png,http://www.nfl.com/player/kentwanbalmer/188/profile,1986-10-15,96
188,2010,4600,Kentwan Balmer,Kentwan,Jalile,Balmer,,ACT,DL,DE,BAL748542,00-0026169,Ahoskie, NC,5816,North Carolina,6-5,315,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAL748542.png,http://www.nfl.com/player/kentwanbalmer/188/profile,1986-10-15,95
188,2011,5110,Kentwan Balmer,Kentwan,Jalile,Balmer,,ACT,DL,DE,BAL748542,00-0026169,Ahoskie, NC,5816,North Carolina,6-5,315,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAL748542.png,http://www.nfl.com/player/kentwanbalmer/188/profile,1986-10-15,93
188,2012,5110,Kentwan Balmer,Kentwan,Jalile,Balmer,,NWT,DL,DE,BAL748542,00-0026169,Ahoskie, NC,5816,North Carolina,6-5,317,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BAL748542.png,http://www.nfl.com/player/kentwanbalmer/188/profile,1986-10-15,93
190,2008,1050,Beau Bell,Beau,Beaumont,Bell,,RES,LB,LB,BEL201526,00-0026244,Tustin, CA,4861,Nevada-Las Vegas,6-1,250,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BEL201526.png,http://www.nfl.com/player/beaubell/190/profile,1986-05-26,58
190,2009,1050,Beau Bell,Beau,Beaumont,Bell,,CUT,LB,LB,BEL201526,00-0026244,Tustin, CA,4861,Nevada-Las Vegas,6-1,250,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BEL201526.png,http://www.nfl.com/player/beaubell/190/profile,1986-05-26,58
196,2008,5110,Colt Brennan,Colt,James,Brennan,,ACT,QB,QB,BRE307886,00-0026326,Laguna Beach, CA,4867,Hawaii,6-3,212,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRE307886.png,http://www.nfl.com/player/coltbrennan/196/profile,1983-08-16,5
196,2009,5110,Colt Brennan,Colt,James,Brennan,,RES,QB,QB,BRE307886,00-0026326,Laguna Beach, CA,4867,Hawaii,6-3,206,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRE307886.png,http://www.nfl.com/player/coltbrennan/196/profile,1983-08-16,5
196,2010,2520,Colt Brennan,Colt,James,Brennan,,CUT,QB,QB,BRE307886,00-0026326,Laguna Beach, CA,4867,Hawaii,6-3,215,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRE307886.png,http://www.nfl.com/player/coltbrennan/196/profile,1983-08-16,5
198,2008,1800,Brian Brohm,Brian,Joseph,Brohm,,ACT,QB,QB,BRO095850,00-0026196,Louisville, KY,1838,Louisville,6-3,223,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRO095850.png,http://www.nfl.com/player/brianbrohm/198/profile,1985-09-23,11
198,2009,610,Brian Brohm,Brian,Joseph,Brohm,,ACT,QB,QB,BRO095850,00-0026196,Louisville, KY,1838,Louisville,6-3,223,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRO095850.png,http://www.nfl.com/player/brianbrohm/198/profile,1985-09-23,4
198,2010,610,Brian Brohm,Brian,Joseph,Brohm,,ACT,QB,QB,BRO095850,00-0026196,Louisville, KY,1838,Louisville,6-3,223,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRO095850.png,http://www.nfl.com/player/brianbrohm/198/profile,1985-09-23,4
200,2008,4600,Red Bryant,Red,Anthony,Bryant,,ACT,DL,DT,BRY512697,00-0026261,Galveston Co., TX,6003,Texas A&M,6-4,318,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRY512697.png,http://www.nfl.com/player/redbryant/200/profile,1984-04-18,79
200,2009,4600,Red Bryant,Red,Anthony,Bryant,,ACT,DL,DT,BRY512697,00-0026261,Galveston Co., TX,6003,Texas A&M,6-4,318,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRY512697.png,http://www.nfl.com/player/redbryant/200/profile,1984-04-18,79
200,2010,4600,Red Bryant,Red,Anthony,Bryant,,RES,DL,DE,BRY512697,00-0026261,Galveston Co., TX,6003,Texas A&M,6-4,323,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRY512697.png,http://www.nfl.com/player/redbryant/200/profile,1984-04-18,79
200,2011,4600,Red Bryant,Red,Anthony,Bryant,,ACT,DL,DE,BRY512697,00-0026261,Galveston Co., TX,6003,Texas A&M,6-4,323,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRY512697.png,http://www.nfl.com/player/redbryant/200/profile,1984-04-18,79
200,2012,4600,Red Bryant,Red,Anthony,Bryant,,ACT,DL,DE,BRY512697,00-0026261,Galveston Co., TX,6003,Texas A&M,6-4,323,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRY512697.png,http://www.nfl.com/player/redbryant/200/profile,1984-04-18,79
200,2013,4600,Red Bryant,Red,Anthony,Bryant,,ACT,DL,DE,BRY512697,00-0026261,Galveston Co., TX,6003,Texas A&M,6-4,323,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRY512697.png,http://www.nfl.com/player/redbryant/200/profile,1984-04-18,79
200,2014,2250,Red Bryant,Red,Anthony,Bryant,,ACT,DL,DE,BRY512697,00-0026261,Galveston Co., TX,6003,Texas A&M,6-4,323,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRY512697.png,http://www.nfl.com/player/redbryant/200/profile,1984-04-18,79
200,2015,3800,Red Bryant,Red,Anthony,Bryant,,ACT,DL,DT,BRY512697,00-0026261,Galveston Co., TX,6003,Texas A&M,6-4,323,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRY512697.png,http://www.nfl.com/player/redbryant/200/profile,1984-04-18,71
200,2016,3800,Red Bryant,Red,Anthony,Bryant,,CUT,DL,DT,BRY512697,00-0026261,Galveston Co., TX,6003,Texas A&M,6-4,323,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRY512697.png,http://www.nfl.com/player/redbryant/200/profile,1984-04-18,71
202,2008,2510,Keenan Burton,Keenan,Edward,Burton,,ACT,WR,WR,BUR769332,00-0026268,Louisville, KY,1837,Kentucky,6-0,202,http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BUR769332.png,http://www.nfl.com/player/keenanburton/202/profile,1984-10-29,14
