play_id,game_id,home_team,away_team,posteam,posteam_type,defteam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,drive,sp,qtr,down,goal_to_go,time,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,extra_point_prob,two_point_conversion_prob,ep,epa,total_home_epa,total_away_epa,total_home_rush_epa,total_away_rush_epa,total_home_pass_epa,total_away_pass_epa,air_epa,yac_epa,comp_air_epa,comp_yac_epa,total_home_comp_air_epa,total_away_comp_air_epa,total_home_comp_yac_epa,total_away_comp_yac_epa,total_home_raw_air_epa,total_away_raw_air_epa,total_home_raw_yac_epa,total_away_raw_yac_epa,wp,def_wp,home_wp,away_wp,wpa,home_wp_post,away_wp_post,total_home_rush_wpa,total_away_rush_wpa,total_home_pass_wpa,total_away_pass_wpa,air_wpa,yac_wpa,comp_air_wpa,comp_yac_wpa,total_home_comp_air_wpa,total_away_comp_air_wpa,total_home_comp_yac_wpa,total_away_comp_yac_wpa,total_home_raw_air_wpa,total_away_raw_air_wpa,total_home_raw_yac_wpa,total_away_raw_yac_wpa,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name,rusher_player_id,rusher_player_name,lateral_receiver_player_id,lateral_receiver_player_name,lateral_rusher_player_id,lateral_rusher_player_name,lateral_sack_player_id,lateral_sack_player_name,interception_player_id,interception_player_name,lateral_interception_player_id,lateral_interception_player_name,punt_returner_player_id,punt_returner_player_name,lateral_punt_returner_player_id,lateral_punt_returner_player_name,kickoff_returner_player_name,kickoff_returner_player_id,lateral_kickoff_returner_player_id,lateral_kickoff_returner_player_name,punter_player_id,punter_player_name,kicker_player_name,kicker_player_id,own_kickoff_recovery_player_id,own_kickoff_recovery_player_name,blocked_player_id,blocked_player_name,tackle_for_loss_1_player_id,tackle_for_loss_1_player_name,tackle_for_loss_2_player_id,tackle_for_loss_2_player_name,qb_hit_1_player_id,qb_hit_1_player_name,qb_hit_2_player_id,qb_hit_2_player_name,forced_fumble_player_1_team,forced_fumble_player_1_player_id,forced_fumble_player_1_player_name,forced_fumble_player_2_team,forced_fumble_player_2_player_id,forced_fumble_player_2_player_name,solo_tackle_1_team,solo_tackle_2_team,solo_tackle_1_player_id,solo_tackle_2_player_id,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_id,assist_tackle_1_player_name,assist_tackle_1_team,assist_tackle_2_player_id,assist_tackle_2_player_name,assist_tackle_2_team,assist_tackle_3_player_id,assist_tackle_3_player_name,assist_tackle_3_team,assist_tackle_4_player_id,assist_tackle_4_player_name,assist_tackle_4_team,pass_defense_1_player_id,pass_defense_1_player_name,pass_defense_2_player_id,pass_defense_2_player_name,fumbled_1_team,fumbled_1_player_id,fumbled_1_player_name,fumbled_2_player_id,fumbled_2_player_name,fumbled_2_team,fumble_recovery_1_team,fumble_recovery_1_yards,fumble_recovery_1_player_id,fumble_recovery_1_player_name,fumble_recovery_2_team,fumble_recovery_2_yards,fumble_recovery_2_player_id,fumble_recovery_2_player_name,return_team,return_yards,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,season,cp,cpoe,season_type,week,game_key,game_time_eastern,game_time_local,iso_time,game_type,site_id,site_city,site_fullname,site_state,roof_type,drive_start_time,drive_end_time,drive_start_yardline,drive_end_yardline,drive_how_started,drive_how_ended,drive_play_count,drive_yards_penalized,drive_time_of_possession,drive_inside20,drive_first_downs,drive_possession_team_abbr,scoring_team_abbr,scoring_type,alert_play_type,play_type_nfl,time_of_day,yards,end_yardline_side,end_yardline_number,series,series_success,success,passer,rusher,receiver,pass,rush,name,first_down,play,passer_id,rusher_id,receiver_id,qb_epa
34,2000090300,NYG,ARI,NYG,home,ARI,NYG,70,2000-09-03,900,1800,3600,Half1,0,1,0,1,,0,15:00:00,NYG 30,0,2,B.Daluiso kicks 72 yards from NYG 30 to ARZ -2. M.Jenkins to ARZ 23 for 25 yards (R.Phillips).
PENALTY on NYG-B.Short, Offside on Free Kick, 5 yards, enforced at NYG 30 - No Play.,no_play,0,0,0,0,0,0,0,,,,,,,,,,,3,3,0,,,3,3,0,0,,,,0,0,0,,,,,,,,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,NYG,00-0019669,B.Short,5,0,,,0,0,0,0,2000,,,REG,1,987,13:00:00,13:00:00,968000400000,REG,2056,East Rutherford,Giants Stadium,NJ,OUTDOOR,15:00:00,13:40:00,ARI 35,ARI 37,Kickoff,Punt,3,0,01:20:00,0,0,ARI,,,,FREE_KICK,13:03:33,5,NYG,35,,,0,,,,0,0,,0,1,,,,0
34,2000090301,PIT,BAL,PIT,home,BAL,BAL,30,2000-09-03,900,1800,3600,Half1,0,1,0,1,,0,15:00:00,BAL 30,0,6,M.Stover kicks 60 yards from BLT 30 to PIT 10. H.Poteat to PIT 35 for 25 yards (C.Harris). FUMBLES (C.Harris), touched at PIT 35, recovered by PIT-A.Battles at PIT 38. A.Battles to PIT 38 for no gain (R.Bailey).,kickoff,0,0,0,0,0,0,0,,,,,,,,60,,,3,3,0,,,3,3,0,0,,,,0,0,0,0.0015063265,0.17974879,0.0066391085,0.2811377,0.21370015,0.0035923128,0.3136756,0,0,0.32352585,1.6833166,1.6833166,-1.6833166,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.09816532,-0.09816532,0.38475668,-0.38475668,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,H.Poteat,00-0019710,,,,,M.Stover,00-0015784,,,,,,,,,,,,,BAL,00-0006927,C.Harris,,,,BAL,,00-0000601,,R.Bailey,,,,,,,,,,,,,,,,,,PIT,00-0019710,H.Poteat,,,,PIT,0,00-0019129,A.Battles,,,,,PIT,25,,,,,0,,,0,0,0,0,2000,,,REG,1,988,13:00:00,13:00:00,968000400000,REG,5100,Pittsburgh,Three Rivers Stadium,PA,OUTDOOR,15:00:00,13:16:00,PIT 38,PIT 44,Kickoff,Punt,3,0,01:44:00,0,0,PIT,,,,FREE_KICK,,35,PIT,35,,,1,,,,0,0,,0,0,,,,1.6833166
34,2000090302,WAS,CAR,WAS,home,CAR,CAR,30,2000-09-03,900,1800,3600,Half1,0,1,0,1,,0,15:00:00,CAR 30,0,79,R.Cunningham kicks 66 yards from CAR 30 to WAS 4. J.Thrash to WAS 21 for 17 yards (R.Anderson).,kickoff,0,0,0,0,0,0,0,,,,,,,,66,,,3,3,0,,,3,3,0,0,,,,0,0,0,0.0015063265,0.17974879,0.0066391085,0.2811377,0.21370015,0.0035923128,0.3136756,0,0,0.32352585,0.09907204,0.09907204,-0.09907204,0,0,0,0,,,,,,,,,,,,,,,,,,,,-0.07262366,0.07262366,0.07480054,-0.07480054,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,J.Thrash,00-0016440,,,,,R.Cunningham,00-0003762,,,,,,,,,,,,,,,,,,,CAR,,00-0019602,,R.Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS,17,,,,,0,,,0,0,0,0,2000,,,REG,1,990,13:00:00,13:00:00,968000400000,REG,2389,Landover,FedEx Field,MD,OUTDOOR,15:00:00,07:51:00,WAS 21,CAR 2,Kickoff,Touchdown,12,0,07:09:00,1,6,WAS,,,,FREE_KICK,,49,WAS,21,,,1,,,,0,0,,0,0,,,,0.09907204
34,2000090304,NO,DET,DET,away,NO,NO,30,2000-09-03,900,1800,3600,Half1,0,1,0,1,,0,15:00:00,NO 30,0,16,T.Gowin kicks 59 yards from NO 30 to DET 11. D.Howard to DET 29 for 18 yards (R.Wilson).,kickoff,0,0,0,0,0,0,0,,,,,,,,59,,,3,3,0,,,3,3,0,0,,,,0,0,0,0.0015063265,0.17974879,0.0066391085,0.2811377,0.21370015,0.0035923128,0.3136756,0,0,0.32352585,0.8767974,-0.8767974,0.8767974,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.019291958,-0.019291958,1.0852112,-1.0852112,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,D.Howard,00-0007798,,,,,T.Gowin,00-0006181,,,,,,,,,,,,,,,,,,,NO,,00-0018056,,R.Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DET,18,,,,,0,,,0,0,0,0,2000,,,REG,1,992,13:00:00,12:00:00,968000400000,REG,2870,New Orleans,Superdome,LA,INDOOR,15:00:00,11:51:00,DET 29,DET 45,Kickoff,Punt,6,0,03:09:00,0,1,DET,,,,FREE_KICK,12:03:36,41,DET,29,,,1,,,,0,0,,0,0,,,,0.8767974
34,2000090305,KC,IND,KC,home,IND,IND,30,2000-09-03,900,1800,3600,Half1,0,1,0,1,,0,15:00:00,IND 30,0,0,D.Kight kicks 70 yards from IND 30 to end zone, Touchback.,kickoff,0,0,0,0,0,0,0,,,,,,,,,,,3,3,0,,,3,3,0,0,,,,0,0,0,0.0015063265,0.17974879,0.0066391085,0.2811377,0.21370015,0.0035923128,0.3136756,0,0,0.32352585,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.079497434,-0.079497434,0.77833855,-0.77833855,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,D.Kight,00-0009212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KC,0,,,,,0,,,0,0,0,0,2000,,,REG,1,993,13:00:00,12:00:00,968000400000,REG,1552,Kansas City,Arrowhead Stadium,MO,OUTDOOR,15:00:00,12:55:00,KC 20,KC 20,Kickoff,Punt,3,0,02:05:00,0,0,KC,,,,FREE_KICK,,50,KC,20,,,0,,,,0,0,,0,0,,,,0
34,2000090307,GB,NYJ,GB,home,NYJ,NYJ,30,2000-09-03,900,1800,3600,Half1,0,1,0,1,,0,15:00:00,NYJ 30,0,27,J.Hall kicks 71 yards from NYJ 30 to GB -1. A.Rossum to GB 27 for 28 yards (T.Scott).,kickoff,0,0,0,0,0,0,0,,,,,,,,,,,3,3,0,,,3,3,0,0,,,,0,0,0,0.0015063265,0.17974879,0.0066391085,0.2811377,0.21370015,0.0035923128,0.3136756,0,0,0.32352585,0.6873293,0.6873293,-0.6873293,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.10937644,-0.10937644,-0.11512991,0.11512991,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,A.Rossum,00-0014071,,,,,J.Hall,00-0006662,,,,,,,,,,,,,,,,,,,NYJ,,00-0018963,,T.Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,28,,,,,0,,,0,0,0,0,2000,,,REG,1,995,16:15:00,15:15:00,968012100000,REG,2606,Green Bay,Lambeau Field,WI,OUTDOOR,15:00:00,11:06:00,GB 27,NYJ 46,Kickoff,Punt,8,5,03:54:00,0,2,GB,,,,FREE_KICK,15:20:12,43,GB,27,,,1,,,,0,0,,0,0,,,,0.6873293
34,2000090311,MIA,SEA,MIA,home,SEA,SEA,30,2000-09-03,900,1800,3600,Half1,0,1,0,1,,0,15:00:00,SEA 30,0,70,K.Heppner kicks 66 yards from SEA 30 to MIA 4. B.Marion to MIA 30 for 26 yards (F.Bownes).,kickoff,0,0,0,0,0,0,0,,,,,,,,66,,,3,3,0,,,3,3,0,0,,,,0,0,0,0.0015063265,0.17974879,0.0066391085,0.2811377,0.21370015,0.0035923128,0.3136756,0,0,0.32352585,0.97117954,0.97117954,-0.97117954,0,0,0,0,,,,,,,,,,,,,,,,,,,,-0.082012214,0.082012214,-0.6031203,0.6031203,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,B.Marion,00-0010381,,,,,K.Heppner,00-0019440,,,,,,,,,,,,,,,,,,,SEA,,00-0001582,,F.Bownes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIA,26,,,,,0,,,0,0,0,0,2000,,,REG,1,999,16:15:00,16:15:00,968012100000,REG,2475,Opa Locka,Pro Player Stadium,FL,OUTDOOR,15:00:00,07:43:00,MIA 30,SEA 4,Kickoff,Touchdown,13,0,07:17:00,1,6,MIA,,,,FREE_KICK,16:15:54,40,MIA,30,,,1,,,,0,0,,0,0,,,,0.97117954
34,2000090313,BUF,TEN,BUF,home,TEN,TEN,30,2000-09-03,900,1800,3600,Half1,0,1,0,1,,0,15:00:00,TEN 30,0,0,C.Hentrich kicks 67 yards from TEN 30 to BUF 3. C.Watson to BUF 14 for 11 yards (G.McCullough).,kickoff,0,0,0,0,0,0,0,,,,,,,,67,,,3,3,0,,,3,3,0,0,,,,0,0,0,0.0015063265,0.17974879,0.0066391085,0.2811377,0.21370015,0.0035923128,0.3136756,0,0,0.32352585,-0.59401184,-0.59401184,0.59401184,0,0,0,0,,,,,,,,,,,,,,,,,,,,-0.2227658,0.2227658,-0.826653,0.826653,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,C.Watson,00-0017299,,,,,C.Hentrich,00-0007308,,,,,,,,,,,,,,,,,,,TEN,,00-0010765,,G.McCullough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUF,11,,,,,0,,,0,0,0,0,2000,,,REG,1,1001,20:20:00,20:20:00,968026800000,REG,3770,Orchard Park,Ralph Wilson Stadium,NY,OUTDOOR,15:00:00,13:27:00,BUF 14,BUF 14,Kickoff,Punt,3,0,01:33:00,0,0,BUF,,,,FREE_KICK,20:34:05,56,BUF,14,,,0,,,,0,0,,0,0,,,,-0.59401184
34,2000090400,LA,DEN,LA,home,DEN,DEN,30,2000-09-04,900,1800,3600,Half1,0,1,0,1,,0,15:00:00,DEN 30,0,6,J.Elam kicks 67 yards from DEN 30 to SL 3. T.Horne to SL 19 for 16 yards (D.O'Neal).,kickoff,0,0,0,0,0,0,0,,,,,,,,67,,,3,3,0,,,3,3,0,0,,,,0,0,0,0.0015063265,0.17974879,0.0066391085,0.2811377,0.21370015,0.0035923128,0.3136756,0,0,0.32352585,-0.09595593,-0.09595593,0.09595593,0,0,0,0,,,,,,,,,,,,,,,,,,,,-0.29550236,0.29550236,-0.37905514,0.37905514,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,T.Horne,00-0007749,,,,,J.Elam,00-0004811,,,,,,,,,,,,,,,,,,,DEN,,00-0019645,,D.O'Neal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA,16,,,,,0,,,0,0,0,0,2000,,,REG,1,1002,21:00:00,20:00:00,968115600000,REG,5189,St.Louis,Trans World Dome,MO,INDOOR,15:00:00,13:17:00,STL 19,STL 25,Kickoff,Punt,3,0,01:43:00,0,0,STL,,,,FREE_KICK,20:09:20,51,STL,19,,,0,,,,0,0,,0,0,,,,-0.09595593
